,nome,codigo,descricao
501,PATCH PANEL GIGALAN CAT6 24 POSICOES FURUKAWA,85177099,Outras partes para aparelhos de telefonia/telegrafia
502,CONDULETE PVC 1 BRANCO,39172300,"Tubo rígido, de polímeros de cloreto de vinila"
505,MODULO BASICO DIO 19' 1U 24F COM BANDEJA,85176254,Distribuidores de conexões para redes ('hubs')
506,CABO GIGALAN UTP CAT6 LSZH FURUKAWA,85444900,Outros condutores elétricos para tensão <= 80 v
509,ACIONADOR MANUAL CONTROLE DE ACESSO,83016000,"Partes de cadeados, fechaduras, etc, de metais comuns"
512,ADESIVOS,48114990,"Outros papéis e cartões gomados ou adesivos, em rolos ou em folhas"
514,ESTANTE DE ARAME REVESTIDO PVC PARA 12 TUBOS DE 13MM,82032090,"Tenazes, pinças, ferramentas manuais semelhantes de metais comuns"
515,FRASCO REAGENTE AMBAR 1000ML TAMPA E BATOQUE,70179000,"Outros artefatos de vidro, para laboratório, higiene e farmácia"
531,CAMERA VIDEO CONFERENCIA REF. 960 - 001054 - GROUP LOGITECH,85176259,Outros equipamentos terminais ou repetidores
532,"AR CONDICIONADO SPLIT PISO / TETO 36.000 BTUs, EVAPORADORA / CONDENSADOR SERPENTINA EM COBRE",84151011,"Aparelhos de ar condicionado do tipo split-system (sistema com elementos separados), com capacidade inferior ou igual a 30.000 frigorias/hora, utilizados em paredes ou janelas"
536,BATERIA RECARREGAVEL - MODELO CR-123 VIDA UTIL 10 ANOS -DURACEL,85065010,"Pilhas e baterias de pilhas, elétricas, de lítio, com volume exterior não superior a 300 cm3"
538,ABACAXI,8043000,Abacaxis frescos ou secos
540,BANANA PRATA,8039000,"Bananas frescas ou secas, exceto bananas-da-terra"
545,BROCOLIS JAPONES,7041000,"Couve-flor e brócolis, frescos ou refrigerados"
547,ACELGA,7049000,"Couves, repolho, etc, do gênero Brassica, frescos ou refrigerados"
554,AGUA MINERAL GARRAFAO DE 20 LITROS,22011000,"Águas minerais e águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas"
555,Limpa pneu  Bombona 5 Litros,34029019,Outras misturas de agentes orgânicos de superfície
556,Sabonete Barra,34011190,"Outros produtos/preparações de toucador, em barras, pedaços, etc."
560,DESODORANTE SPRAY,33072010,"Desodorantes (desodorizantes) corporais e antiperspirantes, líquidos"
561,DEO COLONIA 100ML,33030020,Águas-de-colônia
562,LENCO UMEDECIDO PCT COM 70 UNIDADES,48182000,"Lenços, incluindo os de desmaquiar, e toalhas de mão, de papel"
564,"ROLO FILME PVC TAMANHO 38 CM X 300 M, TRANSMITANCIA: TRANSPARENTE",39204900,"Outras chapas, folhas, etc, de polímeros de cloreto vinila"
565,Papel Higienico 300m,48181000,Papel higiênico
567,Pincel quadro branco,96082000,"Canetas e marcadores, com ponta de feltro ou com outras pontas porosas"
569,CENTRIFUGA ANALOGICA ANGULO FIXO 4000RPM 12X15 TUBOS 220V - Registro ANVISA No80815670001,84211910,"Centrifugadores para laboratórios de análises, ensaios ou pesquisas científicas"
573,TIOCETAMIDA 100 GR. LOTE 8593 VAL. 11/2025,29309085,"1,3-Bis(2-cloroetiltio)-n-propano"
575,MAGNÉSIO EM FITAS 25 GR. LOTE 7697 VAL. 08/2025,81042000,"Desperdícios e resíduos, de magnésio"
576,TIMOLFTALEÍNA 25 GR. LOTE 8614 VAL. 12/2025,29071990,Outros monofenóis
577,"Fruta, tipo melão amarelo, apresentação natural",8071900,Melões frescos
578,Leite condensado integral,4029900,"Outros leites, cremes de leite, concentrados, adocicados"
579,ÁCIDO SILICOTÚNGSTICO PA CAS 12027-43-9 25 GR. LOTE 8318 VAL.10/2025,28111990,Outros ácidos inorgânicos
581,SILICA 60 COL. CROMATOGRÁFICAS CAS 7631-86-9 500 GR. LOTE 6584 VAL. 02/2025,28112230,Gel de silica (dióxido de silício)
585,COXAS E SCOXAS COP CONG SADIA ITF PESAD,2071400,"Pedaços e miudezas, comestíveis de galos/galinhas, congelados"
590,FRUTA IN NATURA - MACA,8081000,Maçãs frescas
600,QUEIJO  COALHO,4069090,Outros queijos
602,"COENTRO, ESPECIE COMUM - MACO",7099990,"Outros produtos hortícolas, frescos ou refrigerados"
608,SWITCH TP-LINK TL-SG1048,85176239,Outros aparelhos de comutação para telefonia e telegrafia
609,SSD 240GB SATA-3 KINGSPEC P4-240,85235190,Outros dispositivos de armazenamento não volátil de dados
610,MEMORIA SODIMM DDR3 8GB/1333 KVR1333D3S,84733042,Placas (módulos) de memória com uma superfície inferior ou igual a 50 cm2
612,PLACA VIDEO 2GB,84733043,"Placas de microprocessamento, mesmo com dispositivo de dissipação de calor"
615,EXTRATO DE TOMATE,20029090,"Outros tomates preparados ou conservados, exceto em vinagre ou em ácido acético"
616,CREME DE LEITE,4022130,"Creme de leite, em pó, com um teor, em peso, de matérias gordas, superior a 1,5 %, sem adição de açúcar ou de outros edulcorantes"
617,MOLHO SHOYO 150ML,24039910,"Extratos e molhos, de tabaco, manufaturados"
618,POLPA DE FRUTA CUPUACU,20089900,"Outras frutas, partes de plantas, preparadas/conservadas de outro modo"
621,MOLHO DE PIMENTA,21039091,"Outras preparações para molhos, molhos preparados, em embalagens imediatas de conteúdo inferior ou igual a 1 kg"
623,LINGUICA CALABRESA,16010000,"Enchidos e produtos semelhantes, de carne, de miudezas ou de sangue; preparações alimentícias à base de tais produtos"
625,ALHO IN NATURA,7032090,"Alhos, frescos ou refrigerados, exceto para semeadura"
626,AZEITE DE OLIVA 500ML,15091000,"Azeite de oliva, virgem"
627,QUEIJO MUSSARELA,4061010,"Queijo tipo mussarela, fresco (não curado)"
628,PRESUNTO DE PERU,16023100,"Preparações alimentícias e conservas, de peruas e de perus"
629,GELATINA EM PO,21069029,"Pós para preparações de cremes, sorvetes, flans, gelatinas ou preparações similares"
632,CEBOLA COMUM,7122000,"Cebolas secas, inclusive pedaços, fatias, pó, etc. sem qualquer outra preparação"
634,GOIABA IN NATURA,8045010,Goiabas frescas ou secas
636,BERINJELA,7093000,Berinjelas frescas ou refrigeradas
637,BETERRABA,17011200,"Açúcar de beterraba, em bruto"
639,PIMENTA MALAGUETA,7096000,"Pimentões e pimentas dos gêneros Capsicum ou Pimenta, frescos ou refrigerados"
643,PO PARA FLAN,21069021,"Pós para a fabricação de pudins, em embalagens imediatas de conteúdo inferior ou igual a 1 kg"
644,ATUM EM CONSERVA,16041410,"Preparações e conservas, de atuns, inteiros ou em pedaços, exceto peixes picados"
645,PE DE MOLEQUE,20081100,Amendoins preparados ou conservados
646,MARACUJA DOCE,8093020,"Nectarinas, frescas"
647,COCO IN NATURA,23065000,"Tortas e outros resíduos sólidos, de coco ou de copra"
650,CHUCHU VERDE,7089000,"Outros legumes de vagem, frescos ou refrigerados"
653,CHANTILY C/1 LITRO,4014029,"Outros cremes de leite, com um teor, em peso, de matérias gordas, superior a 6 %, mas não superior a 10 %, não concentrados nem adicionados de açúcar ou de outros edulcorantes"
655,REFRIGERANTE EM LATA COCA-COLA,21069010,Outras preparações para elaboração de bebidas
661,RECARGA DE EXTINTOR CO2 _06 KG,84241000,"Extintores, mesmo carregados"
664,CARBAMAZEPINA COMP. 200MG GENERICO (C1),30049069,"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses"
665,ACUCAR CRISTAL KG,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol."
666,ARROZ BCO T1 1KG,10063021,"Arroz semibranqueado ou branqueado, não parboilizado, polido ou brunido"
668,COLORIFICO PCT C/ 100G,33059000,Outras preparações capilares
669,FARINHA DE MILHO FLOCADA 500G,11062000,"Farinhas, sêmolas e pós, de sagu ou das raízes ou tubérculos, da posição 07.14"
670,FEIJAO DE CORDA,7133319,"Outros feijões comuns, pretos, secos, em grãos"
671,LEITE EM PO 400GR PCT,4022110,"Leite integral, em pó, com um teor, em peso, de matérias gordas, superior a 1,5 %, sem adição de açúcar ou de outros edulcorantes"
672,MACARRAO ESPAGUETE,19021100,"Massas alimentícias não cozidas, nem recheadas, nem preparadas de outro modo, que contenham ovos"
673,OLEO SOJA 900ML,15079011,"Óleo de soja, refinado, em recipientes com capacidade inferior ou igual a 5 litros"
674,SAL REFINADO,25010011,"Sal marinho, a granel, sem agregados"
675,PORTA CRACHA RIGIDO VERTICAL (TRANSPARENTE),39209990,"Outras chapas, etc, de outros plásticos, não alveolar, sem suporte, etc"
676,CARVÃO VEGETAL,44029000,"Outro carvão vegetal (incluindo o carvão de cascas ou de caroços), mesmo aglomerado"
677,TELEFONE IP FANVIL 2 LINHAS SIP COM FONTE AUDIO HD SUPORTE A EHS DISPLAY,85171891,Outros telefones não combinados com outros aparelhos
678,"FORNO ELÉTRICO CAPACIDADE A PARTIR DE 42 L; TIPO: DE BANCADA; COM, DE PREFERÊNCIA, 02 RATELEIRAS; ALIMENTAÇÃO 220V",85166000,"Outros fornos; fogões de cozinha, fogareiros (incluindo as chapas de cocção), grelhas e assadeiras, eletrotérmicos, uso doméstico"
679,"MESA COM 6 CADEIRAS EM TUBO DE AÇO E TAMPO DE 1.219,97  GRANITO. MESA COPA/COZINHA, MESA EM TUBO AÇO, FORMA RETANG",73239300,"Outros artefatos domésticos, de aços inoxidáveis, e partes"
681,CARNE DE SOL,2102000,"Carnes de bovinos, salgadas/em salmoura/secas/defumadas"
682,FRANGO INTEIRO,2071200,"Carnes de galos/galinhas, não cortadas em pedaços, congelala"
683,CAFE TORRADO E MOIDO,9011110,"Café não torrado, não descafeinado, em grão"
684,BISCOITO DOCE TIPO MARIA,19059020,Bolachas
686,FARINHA DE MANDIOCA BRANCA FINA,19019090,"Outras preparações alimentícias de farinhas, etc, cacau < 40%"
690,MARGARINA VEGETAL COM SAL,15171000,"Margarina, exceto a margarina líquida"
691,OVO BRANCO,4072100,Outros ovos frescos de aves da espécie Gallus domesticus
694,URUCUM EM PO,21039021,"Condimentos e temperos, compostos, em embalagens imediatas de conteúdo inferior ou igual a 1 kg"
695,BISCOITO SALGADO TIPO CREAM CRACKER 400G,19053100,"Bolachas e biscoitos, adicionados de edulcorante"
697,TSH,30021229,"Outras frações do sangue, exceto as preparadas como medicamentos"
707,MELANCIA,8071100,Melancias frescas
709,BATATA INGLESA,7011000,"Batatas, frescas ou refrigeradas, para semeadura"
711,CEBOLA BRANCA,7031019,"Cebolas, frescas ou refrigeradas, exceto para semeadura"
715,BANANA MACA,8031000,"Bananas-da-terra, frescas ou secas"
723,MORANGO,8101000,Morangos frescos
724,ALFACE LISA,10059090,"Milho, exceto em grão"
731,Bomba de Infusao ST1000 SET Portugues,90189010,Outros instrumentos e aparelhos para transfusão de sangue ou infusão intravenosa
734,BANANA PRATA *,8094000,"Ameixas e abrunhos, frescos"
736,MAMAO HAVAI DOCE MEL EXTRA,8072000,Mamões (papaias) frescos
757,"INOCS,DRIED,US(240)",90279099,Partes e acessórios para outros instrumentos e aparelhos para análise
758,"LIDS, TRAY W/A (240)",39235000,"Rolhas, tampas, cápsulas e outros dispositivos para fechar recipientes, de plástico"
760,"Calibrador Eletronico de Pneus Digital, Marca/Stok Air, Modelo/BOX M4000",90262090,Outros instrumentos e aparelhos para medida/controle da pressão
761,"CHAVE DE IMPACTO PNEUMATICA 1/2, MARCA/CHIAPERINI, MODELO/CH I-320",84671900,"Outras ferramentas pneumáticas, de uso manual"
762,BOMBA MANUAL PARA GRAXA,84798999,Outras máquinas e aparelhos mecânicos com função própria
763,Medalha MOEDA BATALHAO DE GUARDA PR,83062100,"Estatuetas/objetos de ornamentação, de metais comuns, folheado, prateados, dourados ou platinados"
764,PROJETOR LED 100W 6K IP66 PT LOOKLED - SPOT LUX,94051093,"Lustres e aparelhos iluminadores elétricos, de metal comum, para teto/parede"
766,*.TERMINAL - MF 1/2' NPT P/ 1/2',84329000,"Partes de máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo"
768,*.ESGUICHO LAVAR EXCENTRICO LATAO - 1/2',84242000,Pistolas aerográficas e aparelhos semelhantes
771,*.DESENGRAXANTE TEIXEIRA PINTO - 5 LITRO,34029039,Outras preparações para lavagem (detergentes)
772,*.EXTENSAO COMPLETA JACTO - J7000 - 220V,84249090,"Partes de outros aparelhos mecânicos para projetar, etc, líquidos/pós, etc"
776,PAPEL VERGE 180GR - BRANCO,48115129,"Outros papéis e cartões revestidos, recobertos de plástico (exceto os adesivos), branqueados, de peso superior a 150 g/m2"
777,CANETA ESFEROGRAFICA AZUL,96081000,Canetas esferográficas
778,COLA BRANCA 90GR,35061090,"Outros produtos de qualquer espécie utilizados como colas ou adesivos, acondicionados para venda a retalho como colas ou adesivos, com peso líquido não superior a 1 kg,"
779,PERFURADOR METAL 50FLS,84729040,"Máquinas para apontar lápis, perfuradores, grampeadores e desgrampeadores"
781,PASTA CATALOGO C/ 50 PLASTICOS,42021210,"Baús para viagem, malas e maletas, incluindo as de toucador e as maletas e pastas de documentos e para estudantes e artefatos semelhantes, com a superfície exterior de plásticos ou de matérias têxteis"
782,CALCULADORA MESA ELETRONICA,96110000,"Carimbos, incluindo os datadores e numeradores, sinetes e artigos semelhantes (incluindo os aparelhos para impressão de etiquetas), manuais; dispositivos manuais de composição tipográfica e jogos de impressão manuais que contenham tais dispositivos"
786,MULTIUSO GABRIELI PLUS - BRANCO,94034000,"Móveis de madeira, do tipo utilizado em cozinhas"
788,COLCHAO D45 DREAMS 088 ALTURA 20 CM - CODIGO GTIN 7899042629262,94042100,"Colchões de borracha alveolar ou de plásticos alveolares, mesmo recobertos"
789,LONA 10 PTA/BCA,39202019,"Outras chapas, etc, de polímero de propileno, biaxialmente orientados, sem suporte"
791,Nitrato de Calcio Tetrahidratado P.A. 1000 g Lt58823 Vl31/10/25,28342910,"Nitrato de cálci, com teor de nitrogênio (azoto) inferior ou igual a 16 %, em peso"
795,ASSENTADOR DE TALAO PNEU CAMINHAO 87/120LBS,84149039,Outras partes de compressores de ar/outros gases
802,FARINHA DE TRIGO 1KG,11010010,Farinha de trigo
803,BATATA PALITO 2KG,20041000,"Batatas, preparadas ou conservadas, exceto em vinagre ou em ácido acético, congeladas"
804,CALDO DE GALINHA 1KG,21041011,"Preparações para caldos e sopas, em embalagens imediatas de conteúdo inferior ou igual a 1 kg"
805,OREGANO,9101100,"Gengibre, não triturado nem em pó"
806,FARINHA DE QUIBE,11031100,"Grumos e sêmolas, de trigo"
807,PRE MISTURA PAO FRANCES 25KG,19012000,"Misturas e pastas para a preparação de produtos de padaria, pastelaria e da indústria de bolachas e biscoitos, da posição 19.05"
812,MARACUJA IN NATURA,8109015,Maracujás (Passiflora edulis)
813,GUARDANAPO,48183000,"Toalhas de mesa e guardanapos, de papel"
816,CENOURA IN NATURA,7061000,"Cenouras e nabos, frescos ou refrigerados"
822,TOUCA TNT DESCARTÁVEL C/ ELÁSTICO EMB. C/100 UND,65050090,Artigos de uso semelhante a chapéu; coifas e rede para cabelo
823,"CLARIFICANTE TRIPLA ACAO 5,0 L CLOR UP",28273200,Cloreto de alumínio
824,COPO DESCARTAVEL 200ML C/ 100UND COPOMAIS,39241000,"Serviços de mesa e outros utensílios de mesa ou de cozinha, de plásticos"
826,SABONETE LIQ SOFT ESP PEROL 500ML (NEUTRO-AZL) EDUMAX,34013000,"Produtos e preparações organânicas tensoativos, para lavar pele"
827,SACO DE LIXO PRETO 20L PLAST ONE,39232190,"Outros sacos, bolsas e cartuchos, de polímeros de etileno"
828,LIQUIDIFICADOR 5 VEL/ PUL MONDIAL L900FB C/ FILTRO BLACK 110V,84382090,Máquinas e aparelhos para indústria de cacau ou de chocolate
829,VESTUARIO HOSPITALAR TAM P,62092000,"Vestuário e seus acessórios, para bebês, de algodão"
833,PASTILHA FREIO DT,87083090,"Outros freios e partes, para tratores/veículos automóveis"
834,LUB.MOTOR 5W30 DIESEL,27101932,Óleos lubrificantes com aditivos
835,FILTRO OLEO,84212300,Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão
836,FILTRO COMB.,84219999,"Outras partes de aparelhos para filtrar ou depurar líquidos, etc."
838,FILTRO CABINE,84213990,Outros aparelhos para filtrar ou depurar gases
839,CORREIA ALTERNADOR,40103100,"Correias de transmissão sem fim, de seção trapezoidal, estriadas, com uma circunferência externa superior a 60 cm, mas não superior a 180 cm, de borracha vulcanizada"
841,ROLAMENTO COMPRESSOR,84835090,Volantes e outras polias
843,POLIA CORREIA ALT.,84835010,"Polias, exceto as de rolamentos reguladoras de tensão"
844,BATERIA 60 D,85071090,Outros acumuladores elétricos de chumbo
845,KIT EMBREAGEM,87089300,Embreagens e suas partes para tratores/veículos automóveis
850,ROLAMENTO SEMI EIXO,84822010,"Rolamentos de roletes cônicos, incluindo os conjuntos constituídos por cones e roletes cônicos, de carga radial"
851,BUCHA FEIXE MOLAS,40169990,"Outras obras de borracha vulcanizada, não endurecida"
853,BAT.SUS.TR,87088000,Amortecedores de suspensão para tratores e veículos automóveis
859,VELA IGNICAO,85111000,Velas de ignição para motores de ignição por centelha ou por compressão
860,PALHETA LIMPADOR,85129000,"Partes de aparelhos elétricos de iluminação ou de sinalização, dos tipos utilizados em ciclos ou automóveis"
862,LAMP.FAROL,85392110,"Outras lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos, halógenos, de tungstênio, para uma tensão inferior ou igual a 15 V"
863,LAMP. FAROLETE,85392910,"Outras lâmpadas/tubos incandescentes, para uma tensão inferior ou igual a 15 V"
865,PNEU 185.65R15,40111000,"Pneumáticos novos, de borracha, dos tipos utilizados em automóveis de passageiros (incluindo os veículos de uso misto (station wagons) e os automóveis de corrida)"
866,VALVULA PNEU,84818099,"Torneiras, e dispositivos semelhantes, para canalizações"
876,EIXO COM. VALV.,84831020,Árvores de cames para comando de válvulas
878,VIDRO PORTA,70071100,"Vidros temperados, de segurança, de dimensões e formatos que permitam a sua aplicação em automóveis, veículos aéreos, barcos ou outros veículos"
885,AGUA DESMINERALIZADA,28539090,Outros produtos da Posição 28.53
886,ADITIVO P/ RADIADOR,38249941,"Preparações desincrustantes, anticorrosivas ou antioxidantes"
892,PONT.DIREC,87089990,Outras partes e acessórios para tratores e veículos automóveis
897,PONT.DIREC.,87089490,"Outras partes, acessórios para tratores e veículos automóveis"
917,BATERIA ALCALINA 9V RECARREGAVEL ELGIN,85075090,Outros acumuladores elétricos de niquel-hidreto metálico
919,BATERIA BOTAO LITIO CR2032 3V ELGIN,95066200,Bolas infláveis
