codigo,nome,uf,indicador
9590085000180,7 BATALHAO DE ENGENHARIA DE COMBATE,RN,NÃO CONTRIBUINTE
9665038000239,COMANDO DE ARTILHARIA DIVISIONARIA DA 1 DIVISÃO DE EXÉRCITO,RJ,CONTRIBUINTE ISENTO
394494001027,DELEMIG DREX SR DPF AP,AP,NÃO CONTRIBUINTE
59311000983,FUNDACAO NACIONAL DO INDIO,MT,NÃO CONTRIBUINTE
9569314000184,COMANDO/1A BRIGADA DE INFANTARIA DE SELVA,RR,NÃO CONTRIBUINTE
9569314000265,COMANDO DA 1 BRIGADA DE INFANTARIA DE SELVA,RR,NÃO CONTRIBUINTE
402552000550,INSTITUTO DE PESQUISAS ENERGETICAS E NUCLEARES,SP,NÃO CONTRIBUINTE
4071106000137,UNIVERSIDADE FEDERAL DO ACRE,AC,NÃO CONTRIBUINTE
394494002856,SUPERINTENDENCIA REGIONAL DO DPF EM MATO GROSSO,MT,NÃO CONTRIBUINTE
33781055000216,INSTITUTO NACIONAL SAUDE MULHER CRIANCA ADOLECENTE-FF,RJ,NÃO CONTRIBUINTE
394544021182,MINISTERIO DA SAUDE,RJ,NÃO CONTRIBUINTE
394429003045,COMANDO DA AERONAUTICA,SP,NÃO CONTRIBUINTE
25944455000196,UNIVERSIDADE FEDERAL DE VICOSA,MG,NÃO CONTRIBUINTE
394429001182,BASE AEREA DO GALEÃO - ALA 11,RJ,NÃO CONTRIBUINTE
5526783000165,MINISTERIO DA CIDADANIA,DF,NÃO CONTRIBUINTE
394429017771,GRUPAMENTO DE APOIO DO DISTRITO FEDERAL,DF,NÃO CONTRIBUINTE
10791831000506,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE BRASIL,DF,NÃO CONTRIBUINTE
394429005927,GRUPAMENTO DE APOIO DE BRASILIA,DF,NÃO CONTRIBUINTE
394429005765,GABINETE DO COMANDANTE DA AERONAUTICA,DF,CONTRIBUINTE ISENTO
29406625000130,AGENCIA NACIONAL DE MINERACAO,DF,NÃO CONTRIBUINTE
394429010769,HOSPITAL DE FORCA AEREA DO GALEAO,RJ,NÃO CONTRIBUINTE
394460052702,MINISTERIO DA ECONOMIA,SP,NÃO CONTRIBUINTE
60453032000174,UNIVERSIDADE FEDERAL DE SAO PAULO - UNIFESP,SP,CONTRIBUINTE ICMS
394460036413,SECRETARIA  DA RECEITA FEDERAL DO BRASIL - ALFANDEGA - PORTO,SP,CONTRIBUINTE ISENTO
396895006247,MINISTERIO DA AGRICULTURA PECUARIA E ABASTECIMENTO,MG,NÃO CONTRIBUINTE
10735145002480,INSTITUTO FEDERAL DE EDUCACAO CIENCIAE TECNOLOGIA DO MARANHA,MA,NÃO CONTRIBUINTE
9595886000138,COMANDO DA 4A BDA DE INF LEVE MONTANHA,MG,NÃO CONTRIBUINTE
33787094004480,INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA IBGE,TO,NÃO CONTRIBUINTE
17217985001852,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MG,NÃO CONTRIBUINTE
9601850000209,HOSPITAL MILITAR DE AREA DE MANAUS,AM,NÃO CONTRIBUINTE
26989350002321,FUNDACAO NACIONAL DE SAUDE,PR,NÃO CONTRIBUINTE
10172061000190,2° CENTRO DE GEOINFORMACAO,DF,CONTRIBUINTE ISENTO
9634666000176,BATALHÃO DE GUARDA PRESIDENCIAL,DF,CONTRIBUINTE ISENTO
394452055188,COMANDO DO EXERCITO  - CENTRO DE INTELIGENCIA DO EXERCITO (C,DF,NÃO CONTRIBUINTE
394429001000,COMANDO DA AERONAUTICA,CE,NÃO CONTRIBUINTE
9688074000137,ESCOLA DE COMANDO E ESTADO MAIOR DO EXERCITO,RJ,NÃO CONTRIBUINTE
10495077000133,COMANDO DA SEXTA REGIAO MILITAR,BA,CONTRIBUINTE ISENTO
15461510000133,UFMS - FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,MS,NÃO CONTRIBUINTE
11234780000150,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL UFFS,SC,CONTRIBUINTE ISENTO
394429017852,COMANDO DA AERONAUTICA,GO,NÃO CONTRIBUINTE
10648539000881,INST. FED. SUL DE MINAS GERAIS CAMPUS POUSO ALEGRE,MG,CONTRIBUINTE ISENTO
4074457000100,CETEM CENTRO DE TECNOLOGIA MINERAL,RJ,CONTRIBUINTE ISENTO
10735145000275,INSTITUTO FEDERAL DO MARANHAO CAMPUS PINHEIRO,MA,CONTRIBUINTE ISENTO
10439707000233,CENTRO DE CAP.FISIC.DO EXERCIT. FORT.SAO JOAO - CCFEX,RJ,CONTRIBUINTE ISENTO
29979036116289,INSTITUTO NACIONAL DO SEGURO SOCIAL,SC,NÃO CONTRIBUINTE
9620754000119,1 BATALHAO DE ENGENHARIA DE COMBATE ( ESCOLA) - BATALHAO VIL,RJ,CONTRIBUINTE ISENTO
33781055001530,INSTITUTO DE TECNOLOGIA DE IMUNOBIOLOGICOS - BIO MANGUINHOS,RJ,CONTRIBUINTE ICMS
29979036116017,INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS SP,SP,NÃO CONTRIBUINTE
394544006701,DISTRITO SANITARIO ESPECIAL INDIGENA MEDIO SOLIMOES,AM,NÃO CONTRIBUINTE
9590648000130,9 BATALHAO DE INFANTARIA MOTORIZADO,RS,NÃO CONTRIBUINTE
8711015000170,INSTITUTO MILITAR DE ENGENHARIA INSTITUTO MILITAR DE ENGENHA,RJ,NÃO CONTRIBUINTE
10626896001730,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE MINAS,MG,NÃO CONTRIBUINTE
33663683003646,CENTRO CIENC MATEMAT E DA NATUREZA DA UFRJ,RJ,CONTRIBUINTE ISENTO
10207029000100,COMANDO DO COMANDO MILITAR DA AMAZONIA,AM,NÃO CONTRIBUINTE
33663683007048,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO/,RJ,NÃO CONTRIBUINTE
394429020560,COMANDO DA AERONAUTICA,RN,NÃO CONTRIBUINTE
394544020291,MINISTERIO DA SAUDE,RJ,NÃO CONTRIBUINTE
394429011064,COMANDO DA AERONAUTICA - COD. 0152265,RJ,NÃO CONTRIBUINTE
31543958000152,BASE ADMINISTRATIVA DO CURADO,PE,NÃO CONTRIBUINTE
9547338000132,7° DEPOSITO DE SUPRIMENTO,PE,CONTRIBUINTE ISENTO
9645528000192,14O BATALHAO DE INFANTARIA MOTORIZADO/PE,PE,NÃO CONTRIBUINTE
9577422000107,HOSPITAL MILITAR DE AREA DE RECIFE,PE,NÃO CONTRIBUINTE
9598288000112,COMANDO 7 REGIAO MILITAR,PE,NÃO CONTRIBUINTE
9572828000199,COMANDO DA 12 BRIGADA DE INFANTARIA LEVE (AEROMOVEL)(00693),SP,CONTRIBUINTE ISENTO
10838653001331,INST.FEDERAL ESPIRITO SANTO/CAMPUS V.N DO IMIGRANTE,ES,CONTRIBUINTE ISENTO
9560963000114,COMANDO DA 10ª REGIAO MILITAR,CE,CONTRIBUINTE ISENTO
9583415000100,COMISSAO REGIONAL DE OBRAS/12,AM,NÃO CONTRIBUINTE
9601850000110,HOSPITAL MILITAR DE AREA DE MANAUS,AM,NÃO CONTRIBUINTE
9651520000139,CENTRO DE INSTRUÇAO DE GUERRA NA SELVA,AM,CONTRIBUINTE ISENTO
7624790000125,COMANDO DO 2 GRUPAMENTO DE ENGENHARIA,AM,NÃO CONTRIBUINTE
9616768000240,HOSPITAL GERAL DE BELEM,PA,NÃO CONTRIBUINTE
10744098000226,INSTITUTO FEDERAL DO CEARA CAMPUS FORTALEZA,CE,NÃO CONTRIBUINTE
10744098001036,IFCE - CAMPUS CRATO,CE,CONTRIBUINTE ICMS
9621924000180,10 DEPOSITO DE SUPRIMENTO,CE,NÃO CONTRIBUINTE
10735145001085,INSTITUTO FEDERAL DO MARANHAO - CAMPUS CODO,MA,CONTRIBUINTE ISENTO
10626896001225,IFMG CAMPUS CONSELHEIRO LAFAIETE,MG,NÃO CONTRIBUINTE
4892707001697,DNIT-DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPO,CE,CONTRIBUINTE ISENTO
59311007058,FUNDACAO NACIONAL DO INDIO,CE,NÃO CONTRIBUINTE
5055128000257,HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO UFCG,PB,NÃO CONTRIBUINTE
10295746000204,HOSPITAL DE GUARNICAO DE NATAL,RN,NÃO CONTRIBUINTE
394460046567,MINISTERIO DA ECONOMIA,RN,NÃO CONTRIBUINTE
24365710000183,UNIVERSIDADE FEDERAL DO RIOGRANDE DO ...,RN,NÃO CONTRIBUINTE
10295746000123,HOSPITAL DE GUARNIÇÃO DE NATAL,RN,NÃO CONTRIBUINTE
7541172000111,COMANDO DO 1 GRUPAMENTO DE ENGENHARIA,PB,NÃO CONTRIBUINTE
9544418000134,HOSPITAL DE GUARNICAO DE JOAO PESSOA,PB,NÃO CONTRIBUINTE
9583579000137,COMANDO DA 7 BRIGADA DE INFANTARIA MOTORIZADA,RN,NÃO CONTRIBUINTE
24134488000108,UNIVERSIDADE FEDERAL DE PERNAMBUCO,PE,NÃO CONTRIBUINTE
24134488000299,UNIVERSIDADE FEDERAL DE PERNAMBUCO,PE,NÃO CONTRIBUINTE
9534290000128,71 BATALHO DE INFANTARIA MOTORIZADO,PE,NÃO CONTRIBUINTE
9577422000280,HOSPITAL MILITAR DE AREA DE RECIFE,PE,NÃO CONTRIBUINTE
15180714000520,UNIVERSIDADE FEDERAL DA BAHIA / COMPLEXO HOSPITALAR E DE SAU,BA,NÃO CONTRIBUINTE
9572327000293,22 BATALHAO LOGISTICO LEVE,SP,CONTRIBUINTE ISENTO
9586718000267,5 BATALHAO DE ENGENHARIA DE COMBATE BLINDADO,SC,NÃO CONTRIBUINTE
9634666000257,BATALHAO DA GUARDA PRESIDENCIAL,DF,NÃO CONTRIBUINTE
394494002937,POSTO UAI MONTES CLAROS/MG,MG,NÃO CONTRIBUINTE
9567370000260,4. BATALHAO DE ENG. DE COMBATE,MG,NÃO CONTRIBUINTE
31724933000155,UFES - COORDENACAO DE ADMN SUL ESPIRITO SANTO,ES,NÃO CONTRIBUINTE
9662517000110,VIGESIMO BATALHAO DE INFANTARIA BLINDADO 00020394,PR,NÃO CONTRIBUINTE
9632026000127,COMANDO DA 18 BRIGADA DE INF FRONTEIRA,MS,NÃO CONTRIBUINTE
9636761000109,5 COMPANHIA DE COMUNICACOES BLINDADA,PR,CONTRIBUINTE ISENTO
92242080000100,UNIVERSIDADE FEDERAL DE PELOTAS,RS,NÃO CONTRIBUINTE
394544004920,DISTRITO SANITARIO ESP INDIGENA DE MG E ES,MG,NÃO CONTRIBUINTE
394544010652,DISTRITO SANITARIO ESPECIAL INDIGENA MARANHAO,MA,CONTRIBUINTE ISENTO
10727655000381,INSTITUTO FEDERAL DE EDUCAO CIENCIA E,MG,CONTRIBUINTE ICMS
4892707002405,DNIT-DEP NAC DE INFR DE TRANSP,MG,NÃO CONTRIBUINTE
7565863000155,2º BATALHAO FERROVIARIO,MG,CONTRIBUINTE ISENTO
9643858000149,17 BATALHAO LOGISTICO,MG,NÃO CONTRIBUINTE
3510668000177,COLEGIO MILITAR DE JUIZ DE FORA,MG,NÃO CONTRIBUINTE
32479123000143,UNIVERSIDADE FEDERAL DO ESP.SANTO,ES,NÃO CONTRIBUINTE
9576726000141,38 BATALHAO DE INFANTARIA,ES,CONTRIBUINTE ISENTO
17217985002743,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MG,NÃO CONTRIBUINTE
8829974000275,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,PI,NÃO CONTRIBUINTE
10651417000178,INSTITUTO FEDERAL GOIANO,GO,NÃO CONTRIBUINTE
10727655000462,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO NORTE",MG,NÃO CONTRIBUINTE
10767239000730,INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS PESQUEIRA,PE,NÃO CONTRIBUINTE
10870883001540,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE GOI",GO,NÃO CONTRIBUINTE
8635952000193,CENTRO TECNOLOGICO DO EXERCITO - C25,RJ,NÃO CONTRIBUINTE
9647624000250,HOSPITAL DE GUARNICAO DE ALEGRETE,RS,NÃO CONTRIBUINTE
394544021344,INSTITUTO NACIONAL DE CARDIOLOGIA-INC,RJ,NÃO CONTRIBUINTE
9561190000190,ACADEMIA MILITAR DAS AGULHAS NEGRAS,RJ,NÃO CONTRIBUINTE
9687482000174,CENTRO DE AVALIACAO DO EXERCITO,RJ,NÃO CONTRIBUINTE
15180714000104,UNIVERSIDADE FEDERAL DA BAHIA,BA,NÃO CONTRIBUINTE
9549096000205,COLEGIO MILITAR DE CAMPO GRANDE,MS,NÃO CONTRIBUINTE
10763998001101,INSTITUTO FEDERAL DE EDUCACAO CIENCIAE TECNOLOGIA DO PARA,PA,NÃO CONTRIBUINTE
394544020372,MS HOSPITAL FEDERAL CARDOSO FONTES,RJ,CONTRIBUINTE ISENTO
9543601000115,ESCOLA DE INSTRUCAO ESPECIALIZADA,RJ,NÃO CONTRIBUINTE
9591608000293,HOSPITAL MILITAR DE AREA DE SAO PAULO,SP,NÃO CONTRIBUINTE
9631134000266,T9547  - HOSPITAL GERAL DE JUIZ DE FORA,MG,NÃO CONTRIBUINTE
33663683006238,FORUM DE CIENCIA E CULTURA DA UFRJ,RJ,CONTRIBUINTE ICMS
9663992000101,CENTRO DE PREPARACAO OFICIAIS RESERVA/RJ,RJ,CONTRIBUINTE ISENTO
33663683000892,ESCOLA DE QUIMICA UFRJ LABCOM,RJ,NÃO CONTRIBUINTE
10783898000256,IFPB CAMPUS JOAO PESSOA,PB,NÃO CONTRIBUINTE
33663683005347,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,RJ,NÃO CONTRIBUINTE
28523215003989,UNIVERSIDADE FEDERAL FLUMINENSE,RJ,NÃO CONTRIBUINTE
394429018077,COMANDO DA AERONAUTICA (14641),SP,NÃO CONTRIBUINTE
394429009752,COMANDO DA AERONAUTICA,SP,NÃO CONTRIBUINTE
394429000291,COMANDO DA AERONAUTICA,SP,NÃO CONTRIBUINTE
394429016457,GRUPAMENTO DE APOIO DE SAO JOSE DOS CAMPOS,SP,NÃO CONTRIBUINTE
21195755000169,UNIVERSIDADE FEDERAL DE JUIZ DE FORA UFJF,MG,CONTRIBUINTE ISENTO
33781055001298,INSTITUTO OSWALDO CRUZ,RJ,NÃO CONTRIBUINTE
9572391000193,37 BATALHAO DE INFATARIA LEVE,SP,NÃO CONTRIBUINTE
10651417000500,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA GOIANO",GO,NÃO CONTRIBUINTE
9551850000152,SETIMO REGIMENTO DE CAVALARIA MECANIZADO,RS,NÃO CONTRIBUINTE
9545291000178,QUINTO REGIMENTO DE CAVALARIA MECANIZADO,RS,NÃO CONTRIBUINTE
9559822000181,ESCOLA PREPARATORIA DE CADETES DO E,SP,CONTRIBUINTE ISENTO
10651417001220,INSTITUTO FEDERAL GOIANO - CAMPUS CAMPOS BELOS,GO,NÃO CONTRIBUINTE
9565807000146,32º BATALHAO DE INFANTARIA  LEVE-MONTANHA,RJ,CONTRIBUINTE ISENTO
662270000320,INST. NAC. DE METROLOGIA QUALIDADE E TECNOLOGIA - INMETRO,RJ,CONTRIBUINTE ISENTO
7722779000289,FUNDACAO UNIVERSIDADE FEDERAL DO ABC - UFABC,SP,CONTRIBUINTE ICMS
17217985004282,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MG,CONTRIBUINTE ICMS
38174000496,FUNDACAO UNIVERSIDADE DE BRASILIA,DF,CONTRIBUINTE ICMS
9575381000101,BASE ADMINISTRATIVA DA GUARNICAO DE SANTA MARIA,RS,NÃO CONTRIBUINTE
75095679000220,UNIVERSIDADE FEDERAL DO PARANA,PR,NÃO CONTRIBUINTE
75101873000432,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA - CAMPUS PATO BRA,PR,NÃO CONTRIBUINTE
10652179001863,INSTITUTO FEDERAL DE EDUCACAO CIENCIAE TECNOLOGIA DO PARANA,PR,NÃO CONTRIBUINTE
10342197000109,5 BATALHAO DE SUPRIMENTOS,PR,CONTRIBUINTE ISENTO
33787094001979,IBGE,PR,CONTRIBUINTE ISENTO
10651417001140,INSTITUTO FEDERAL GOIANO - CAMPUS POSSE,GO,NÃO CONTRIBUINTE
9587107000152,HOSPITAL DE GUARNICAO DE FLORIANOPOLIS,SC,CONTRIBUINTE ISENTO
394429018409,GRUPAMENTO DE APOIO DE SANTA MARIA,RS,NÃO CONTRIBUINTE
35840659000130,UNIVERSIDADE FEDERAL DE JATAI,GO,NÃO CONTRIBUINTE
10744098000145,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA",CE,NÃO CONTRIBUINTE
75101873000351,UNIVERSIDADE TECNOLOGICAFEDERAL DO PARANA,PR,NÃO CONTRIBUINTE
75101873001161,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,PR,NÃO CONTRIBUINTE
10744098003160,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA",CE,NÃO CONTRIBUINTE
9586047000153,22º GRUPO DE ARTILHARIA DE CAMAPNHA AUTOPROPULSADO,RS,NÃO CONTRIBUINTE
9566074000164,8 REGIMENTO DE CAVALARIA MECANIZADO.,RS,NÃO CONTRIBUINTE
9596556000167,COMANDO 2 BRIGADA DE CAVALARIA MECANIZADA,RS,CONTRIBUINTE ISENTO
9584407000188,SEXTO GRUPO DE ARTILHARIA DE CAMPANHA,RS,CONTRIBUINTE ISENTO
9605231000284,HOSPITAL GERAL DE SANTA MARIA,RS,NÃO CONTRIBUINTE
8829974002561,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,RJ,CONTRIBUINTE ISENTO
394429001697,BASM - BASE AEREA DE SANTA MARIA,RS,NÃO CONTRIBUINTE
34621748000123,UNIVERSIDADE FEDERAL DO PARA,PA,NÃO CONTRIBUINTE
396895007138,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",PE,NÃO CONTRIBUINTE
394429001859,BASE AEREA DE NATAL - ALA 10,RN,NÃO CONTRIBUINTE
394429000887,COMANDO DA AERONAUTICA DE CANOAS - BACO,RS,NÃO CONTRIBUINTE
10199860000150,BASE ADMINISTRATIVA DO COMANDO DE OPERACOES ESPECIAIS,GO,CONTRIBUINTE ISENTO
9539711000103,HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,MS,NÃO CONTRIBUINTE
394460006506,MINISTERIO DA ECONOMIA- MT,MT,NÃO CONTRIBUINTE
10784782001394,INSTITUTO FEDERAL DE MATO GROSSO 5080,MT,NÃO CONTRIBUINTE
394429017429,COMANDO DA AERONAUTICA,RJ,NÃO CONTRIBUINTE
394445000365,MINISTERIO DA EDUCACAO,DF,CONTRIBUINTE ISENTO
33787094000140,IBGE,RJ,NÃO CONTRIBUINTE
2030715000112,AGENCIA NACIONAL DE TELECOMUNICACOES,DF,CONTRIBUINTE ISENTO
2313673000208,"AGENCIA NACIONAL DO PETROLEO, GAS NATURA",DF,NÃO CONTRIBUINTE
2270669000129,AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,DF,NÃO CONTRIBUINTE
394494001370,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,DF,NÃO CONTRIBUINTE
9597351000104,COMANDO DA 11A. REGIAO MILITAR,DF,NÃO CONTRIBUINTE
10825373000155,INSTITUTO FEDERAL DE ALAGOAS,AL,NÃO CONTRIBUINTE
10825373001399,IFAL - CAMPUS CORURIPE,AL,CONTRIBUINTE ISENTO
10825373000902,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGI",AL,NÃO CONTRIBUINTE
10825373000660,INSTITUTO FEDERAL DE ALAGOAS - CAMPUS PENEDO,AL,CONTRIBUINTE ISENTO
10825373000317,INSTITUTO FEDERAL DE ALAGOAS-MACEIO,AL,NÃO CONTRIBUINTE
396895001105,"MINISTERIO DA AGRICULTURA, PECUARIA E AB",DF,NÃO CONTRIBUINTE
4196645000100,IMPRENSA NACIONAL,DF,NÃO CONTRIBUINTE
10825373001550,INST. FED. DE ALAGOAS - CAMPUS RIO LARGO,AL,NÃO CONTRIBUINTE
10825373000236,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGI",AL,NÃO CONTRIBUINTE
10825373000589,INSTITUTO FEDERAL DE ALAGOAS - CAMPUS PALMEIRAS DOS INDIOS,AL,CONTRIBUINTE ISENTO
10825373000821,INST. FED. DE ALAGOAS/CAMPUS PIRANHAS,AL,CONTRIBUINTE ISENTO
10825373001127,INSTITUTO FED.DE EDUCA.CIENCIA E TEC.AL- IF/AL,AL,CONTRIBUINTE ISENTO
10825373000740,INSTITUTO FEDERAL DE ALAGOAS -CAMPUS SANTANA DO IPANEMA,AL,CONTRIBUINTE ISENTO
3659166001850,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAI,RN,NÃO CONTRIBUINTE
33787094001898,FUNDACAO INST BRAS DE GEO E ESTATISTICA,PB,NÃO CONTRIBUINTE
2360944000103,SUPERINTENDENCIA REGIONAL DO DISTRITO FEDERAL E ENTORNO - S,DF,CONTRIBUINTE ISENTO
394494002422,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,DF,NÃO CONTRIBUINTE
32901688000177,FUNDACAO CULTURAL PALMARES,DF,CONTRIBUINTE ISENTO
37115375000883,SERVICO FLORESTAL BRASILEIRO,DF,NÃO CONTRIBUINTE
7947821000189,AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC,SP,NÃO CONTRIBUINTE
394494008382,MINISTERIO DA JUSTICA,DF,CONTRIBUINTE ISENTO
33787094003408,IBGE. E. / DF,DF,NÃO CONTRIBUINTE
3132745000100,COORDENACAO GERAL DE RECURSOS LOGISTICOS/ MCTI,DF,NÃO CONTRIBUINTE
26664015000148,"MINISTERIO TRANSPARENCIA, FISCAL. E  CONTROL. GERAL UNIAO",DF,NÃO CONTRIBUINTE
489828001046,"MINISTERIO DO PLANEJAMENTO, DESENVOLVIMENTO E GESTAO - MPDG",DF,NÃO CONTRIBUINTE
889834000108,FUND. COORD.DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP,DF,NÃO CONTRIBUINTE
26474056000171,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL-IPHAN,DF,NÃO CONTRIBUINTE
42354068000119,SUSEP - SUPERINTENDENCIA DE SEGUROS PRIVADOS,RJ,NÃO CONTRIBUINTE
4903587000108,ANTAQ - AG. NAC. DE TRANS. AQUAVIARIOS BRASILIA,DF,NÃO CONTRIBUINTE
4898488000177,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,DF,CONTRIBUINTE ISENTO
627612000109,FUNDACAO ESCOLA NACIONAL DE ADMINISTRACAO PUBLICA,DF,CONTRIBUINTE ICMS
59311000126,FUNDACAO NACIONAL DO INDIO (FUNAI SEDE ),DF,CONTRIBUINTE ISENTO
394460001970,MINISTERIO DA ECONOMIA,PI,NÃO CONTRIBUINTE
10791831000344,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA,DF,CONTRIBUINTE ISENTO
26994558006830,ADVOCACIA GERAL DA UNIAO,DF,NÃO CONTRIBUINTE
3659166000102,INSTITUTO BRAS DO MEIO AMBIEN E DOS REC NAT RENOVAVEIS,DF,CONTRIBUINTE ISENTO
394460021653,PROCURADORIA GERAL DA FAZENDA NACIONAL,DF,CONTRIBUINTE ISENTO
9553484000251,HOSPITAL MILITAR DE AREA DE BRASILIA (HMAB),DF,NÃO CONTRIBUINTE
29979036061794,GERÊNCIA EXECUTIVA DO INSS DO DISTRITO FEDERAL,DF,CONTRIBUINTE ISENTO
